DIA_INICIO;DIA_FINAL;SECCION_ANOMALIA;RECEPCIONADAS;ABIERTAS;CERRADAS;ABIERTAS_SIN_ACTUAR;ACTUADAS_NO_CERRADAS;ACTUADAS_Y_CERRADAS;VISADAS_NO_ACTUADAS;CERRADAS_POR_CANCELACION;TRASLADOS_INTERNOS
11/12/2017;17/12/2017;TOTAL;1.423;1.118;305;586;532;305;163;0;3
18/12/2017;24/12/2017;BICICLETA PUBLICA;532;495;37;109;386;37;90;0;0
18/12/2017;24/12/2017;SEÑALIZACION ;95;93;2;93;0;2;0;0;4
18/12/2017;24/12/2017;SER;595;501;94;387;114;94;31;0;0
18/12/2017;24/12/2017;TOTAL;1.222;1.089;133;589;500;133;121;0;4
25/12/2017;31/12/2017;BICICLETA PUBLICA;266;250;16;13;237;16;10;0;1
25/12/2017;31/12/2017;SEÑALIZACION ;68;68;0;68;0;0;0;0;0
25/12/2017;31/12/2017;SER;452;444;8;290;154;8;37;0;0
25/12/2017;31/12/2017;TOTAL;786;762;24;371;391;24;47;0;1
01/01/2018;07/01/2018;BICICLETA PUBLICA;353;345;8;41;304;8;35;0;0
01/01/2018;07/01/2018;SEÑALIZACION ;84;84;0;84;0;0;0;0;5
01/01/2018;07/01/2018;SER;824;667;157;465;202;157;22;0;2
01/01/2018;07/01/2018;TOTAL;1.261;1.096;165;590;506;165;57;0;7
08/01/2018;14/01/2018;BICICLETA PUBLICA;420;413;7;35;378;7;23;0;1
08/01/2018;14/01/2018;SEÑALIZACION ;97;94;3;94;0;3;0;0;4
08/01/2018;14/01/2018;SER;886;791;95;591;200;95;64;0;0
08/01/2018;14/01/2018;TOTAL;1.403;1.298;105;720;578;105;87;0;5
15/01/2018;21/01/2018;BICICLETA PUBLICA;506;503;3;42;461;3;35;0;0
15/01/2018;21/01/2018;SEÑALIZACION ;102;100;2;100;0;2;0;0;5
15/01/2018;21/01/2018;SER;947;812;135;543;269;135;58;0;1
15/01/2018;21/01/2018;TOTAL;1.555;1.415;140;685;730;140;93;0;6
22/01/2018;28/01/2018;BICICLETA PUBLICA;459;452;7;31;421;5;26;2;1
22/01/2018;28/01/2018;SEÑALIZACION ;122;118;4;118;0;4;0;0;5
22/01/2018;28/01/2018;SER;766;678;88;432;246;88;42;0;0
22/01/2018;28/01/2018;TOTAL;1.347;1.248;99;581;667;97;68;2;6
29/01/2018;04/02/2018;BICICLETA PUBLICA;440;429;11;52;377;11;39;0;0
29/01/2018;04/02/2018;SEÑALIZACION ;116;115;1;112;3;1;0;0;11
29/01/2018;04/02/2018;SER;776;691;85;396;295;85;42;0;0
29/01/2018;04/02/2018;TOTAL;1.332;1.235;97;560;675;97;81;0;11
05/02/2018;11/02/2018;BICICLETA PUBLICA;344;340;4;32;308;4;24;0;0
05/02/2018;11/02/2018;SEÑALIZACION ;105;105;0;104;1;0;0;0;0
05/02/2018;11/02/2018;SER;771;716;55;388;328;54;35;1;0
05/02/2018;11/02/2018;TOTAL;1.220;1.161;59;524;637;58;59;1;0
12/02/2018;18/02/2018;BICICLETA PUBLICA;393;392;1;29;363;1;25;0;0
12/02/2018;18/02/2018;SEÑALIZACION ;118;118;0;118;0;0;0;0;4
12/02/2018;18/02/2018;SER;621;598;23;287;311;22;35;1;0
